Location,Date,Fully Vaccinated
United States,2021-01-14,1342086.0
United States,2021-01-15,1610524.0
United States,2021-01-19,2023124.0
United States,2021-01-20,2161419.0
United States,2021-01-21,2394961.0
United States,2021-01-22,2756953.0
United States,2021-01-23,3027865.0
United States,2021-01-24,3216836.0
United States,2021-01-25,3346390.0
United States,2021-01-26,3481921.0
United States,2021-01-27,3801053.0
United States,2021-01-28,4263056.0
United States,2021-01-29,4780888.0
United States,2021-01-30,5259693.0
United States,2021-01-31,5657142.0
United States,2021-02-01,5927847.0
United States,2021-02-02,6064792.0
United States,2021-02-03,6436931.0
United States,2021-02-04,6926050.0
United States,2021-02-05,7503864.0
United States,2021-02-06,8317180.0
United States,2021-02-07,9147185.0
United States,2021-02-08,9518015.0
United States,2021-02-09,9840429.0
United States,2021-02-10,10469514.0
United States,2021-02-11,11188782.0
United States,2021-02-12,12085830.0
United States,2021-02-13,13082172.0
United States,2021-02-14,14077440.0
United States,2021-02-16,15015434.0
United States,2021-02-17,15471536.0
United States,2021-02-18,16162358.0
United States,2021-02-19,17039118.0
United States,2021-02-20,17895667.0
United States,2021-02-21,18865319.0
United States,2021-02-22,19438495.0
United States,2021-02-23,19882544.0
United States,2021-02-24,20607261.0
United States,2021-02-25,21555117.0
United States,2021-02-26,22613359.0
United States,2021-02-27,23698627.0
United States,2021-02-28,24779920.0
United States,2021-03-01,25466405.0
United States,2021-03-02,26162122.0
United States,2021-03-03,26957804.0
United States,2021-03-04,27795980.0
United States,2021-03-05,28701201.0
United States,2021-03-06,29776160.0
United States,2021-03-07,30686881.0
United States,2021-03-08,31493040.0
United States,2021-03-09,32102061.0
United States,2021-03-10,32904161.0
United States,2021-03-11,33863127.0
United States,2021-03-12,35000159.0
United States,2021-03-13,36929777.0
United States,2021-03-14,37459269.0
United States,2021-03-15,38335432.0
United States,2021-03-16,39042345.0
United States,2021-03-17,39989196.0
United States,2021-03-18,40981464.0
United States,2021-03-19,41934629.0
United States,2021-03-20,43036818.0
United States,2021-03-21,44141228.0
United States,2021-03-22,44910946.0
United States,2021-03-23,45533962.0
United States,2021-03-24,46365515.0
United States,2021-03-25,47419832.0
United States,2021-03-26,48695172.0
United States,2021-03-27,50141769.0
United States,2021-03-28,51593564.0
United States,2021-03-29,52614231.0
United States,2021-03-30,53423486.0
United States,2021-03-31,54607041.0
United States,2021-04-01,56089614.0
United States,2021-04-02,57984785.0
United States,2021-04-03,59858146.0
United States,2021-04-04,61416536.0
United States,2021-04-05,62392065.0
United States,2021-04-06,63016976.0
United States,2021-04-07,64422618.0
United States,2021-04-08,66203123.0
United States,2021-04-09,68202458.0
United States,2021-04-10,70692645.0
United States,2021-04-11,72630892.0
United States,2021-04-12,74066085.0
United States,2021-04-13,75322283.0
United States,2021-04-14,76681252.0
United States,2021-04-15,78498290.0
United States,2021-04-16,80609818.0
United States,2021-04-17,82471151.0
United States,2021-04-18,84263408.0
United States,2021-04-19,85365180.0
United States,2021-04-20,86223506.0
United States,2021-04-21,87592646.0
United States,2021-04-22,89245776.0
United States,2021-04-23,91175995.0
United States,2021-04-24,93078040.0
United States,2021-04-25,94772329.0
United States,2021-04-26,95888088.0
United States,2021-04-27,96747454.0
